guhar,n,küpe,
guhartin,v,"değiştirmek",
guhastin,v,"aktarmak,nakletmek",
guhastin,v,taşımak,
guhdayîn,v,dinlemek,
guherandin,v,"değiştirmek",
guhertin,v,değiştirmek,
guherîn,v,"değişmek",
gul,n,gül,
gulan,n,mayıs,
gulberoj,n,ayçiçeği,
guldexwîn,n,terslale,
gulebûk,n,gelincik,
gulkelem,n,karnabahar,
guman kirin,v,"şüphe etmek, kuşkulanmak",
gumandar,n,şüpheli,
gund,n,köy,
guneh,n,günah,
gur,n,kurt,
gurçik,n,böbrek,
gustîlk,n,yüzük,
guvaştin,v,"sıkmak",
gêzer,n,havuç,
gîşe,n,gişe,
hatin hez kirin,v,sevilmek,
hatin,v,gelmek,
hatin,v,gelmek,
havîn,n,yaz,
hefte_,n,hafta,
hejandin,v,"kaldırmak (yük, eşya vb.)",
hejmar,n,sayı,
hejmartin,v,"saymak",
helbestvan,n,şair,
helwest,n,tavır,
hema bêje,n,adeta,
heman,adv,aynı,
heman,n,"aynı, özdeş",
hemper,sıfat,düzenli,
hemşîre,n,hemşire,
her,belirtisiz zamir,her,
herikîn,v,"akmak",
heryek,belirtisiz zamir,her biri,
herêm,n,bölge,
herîkîn,v,akmak,"Fiziksel olarak akmak manasında olan kullanım."
hesibandin,n,hesapla,
hesin,n,demir,
hesinker,n,demirci,
hesp,n,at,
heste,n,çakmak,
heta,edat,kadar,
hetav,n,güneş,eş anlam
hev dîtin,v,buluşmak,
hev,pron,birlikte,
heval,n,arkadaş,
hevdîtin,v,görüşmek,
hevling,n,bacanak,
hevsengi,n,denge,
hevzava,n,bacanak,
hewa,n,hava,
hewceyî bûn,v,ihtiyacı olmak,
hewş,n,avlu,
heyam,n,"dönem, çağ",
heye,n,var,
heyv,n,ay,
hezar,n,bin,
hezkirin,v,sevmek,
hilbijartin,n,seçim,
hilbijartin,v,seçmek,
hildan,v,içermek,
hilgirtin,v,kaldırmak,
hilkırin,v,sökmek,
hilm,n,buhar,
hinar,n,nar,
hinartin,v,"göndermek,yollamak",
hindir,prep,iç,
hirmî,n,armut,
hogir,n,dost,
hostes,n,hostes,
hêdî,sıfat,yavaş,
hêk,n,yumurta,
hêkerûn,n,omlet,
hêrs,sıfat,sinirli,
hêrsok,sıfat,sinirli,
hêsan,sıfat,kolay,
hêvî dan,v,ümitlendirmek,
hêvî kirin,v,umut etmek,
hêzdar,sıfat,güçlü,
hêştir,n,deve,
hêşînayî,n,yeşillik,
hîlet,n,tiksinme,
hîn bûn,v,öğrenmek,
hîç,belirtisiz zamir,hiç,
hûn çawa ne?,exp,nasılsınız?,
hûn,pron,siz,
incas,n,siyah erik,
jar,adj,zayıf,
ji ber vê yekê,exp,bundan dolayı,<b>Hevoka Mînak - Örnek Cümle</b><br>Ji ber vê yekê em jî hatin.<br>Bundan dolayı biz de geldik.
ji bîr kirin,v,unutmak,
ji kerema xwe,exp,lütfen,
ji nişkê ve,adv,aniden,
ji,edat,-den,
jimaryar,n,muhasebeci,
jimaryarî,n,muhasebe,
jin,n,kadın,
jinbav,n,üvey anne,
jintî,n,elti,
jinxal,n,dayı eşi,<b>Hevoka Mînak - Örnek Cümle</b><br>Jinxala min çû nexweşxanê. <br> Yengem hastaneye gitti. (Jinxal)
jixwe,adv,zaten,
